PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FamilySize,IsAlone,AgeGroup
87,0,3,male,16.0,1,3,S,5,0,Young
88,0,3,male,28.0,0,0,S,1,1,Adult
89,1,1,female,23.0,3,2,S,6,0,Young
90,0,3,male,24.0,0,0,S,1,1,Young
91,0,3,male,29.0,0,0,S,1,1,Adult
92,0,3,male,20.0,0,0,S,1,1,Young
93,0,1,male,46.0,1,0,S,2,0,Adult
94,0,3,male,26.0,1,2,S,4,0,Adult
95,0,3,male,59.0,0,0,S,1,1,Adult
96,0,3,male,28.0,0,0,S,1,1,Adult
97,0,1,male,71.0,0,0,C,1,1,Senior
98,1,1,male,23.0,0,1,C,2,0,Young
99,1,2,female,34.0,0,1,S,2,0,Adult
100,0,2,male,34.0,1,0,S,2,0,Adult
101,0,3,female,28.0,0,0,S,1,1,Adult
102,0,3,male,28.0,0,0,S,1,1,Adult
103,0,1,male,21.0,0,1,S,2,0,Young
104,0,3,male,33.0,0,0,S,1,1,Adult
105,0,3,male,37.0,2,0,S,3,0,Adult
106,0,3,male,28.0,0,0,S,1,1,Adult
107,1,3,female,21.0,0,0,S,1,1,Young
108,1,3,male,28.0,0,0,S,1,1,Adult
109,0,3,male,38.0,0,0,S,1,1,Adult
110,1,3,female,28.0,1,0,Q,2,0,Adult
111,0,1,male,47.0,0,0,S,1,1,Adult
112,0,3,female,14.5,1,0,C,2,0,Young
113,0,3,male,22.0,0,0,S,1,1,Young
114,0,3,female,20.0,1,0,S,2,0,Young
115,0,3,female,17.0,0,0,C,1,1,Young
116,0,3,male,21.0,0,0,S,1,1,Young
117,0,3,male,70.5,0,0,Q,1,1,Senior
118,0,2,male,29.0,1,0,S,2,0,Adult
119,0,1,male,24.0,0,1,C,2,0,Young
120,0,3,female,2.0,4,2,S,7,0,Child
121,0,2,male,21.0,2,0,S,3,0,Young
122,0,3,male,28.0,0,0,S,1,1,Adult
123,0,2,male,32.5,1,0,C,2,0,Adult
124,1,2,female,32.5,0,0,S,1,1,Adult
125,0,1,male,54.0,0,1,S,2,0,Adult
126,1,3,male,12.0,1,0,C,2,0,Child
127,0,3,male,28.0,0,0,Q,1,1,Adult
128,1,3,male,24.0,0,0,S,1,1,Young
129,1,3,female,28.0,1,1,C,3,0,Adult
130,0,3,male,45.0,0,0,S,1,1,Adult
131,0,3,male,33.0,0,0,C,1,1,Adult
132,0,3,male,20.0,0,0,S,1,1,Young
133,0,3,female,47.0,1,0,S,2,0,Adult
134,1,2,female,29.0,1,0,S,2,0,Adult
135,0,2,male,25.0,0,0,S,1,1,Adult
136,0,2,male,23.0,0,0,C,1,1,Young
137,1,1,female,19.0,0,2,S,3,0,Young
138,0,1,male,37.0,1,0,S,2,0,Adult
139,0,3,male,16.0,0,0,S,1,1,Young
140,0,1,male,24.0,0,0,C,1,1,Young
141,0,3,female,28.0,0,2,C,3,0,Adult
142,1,3,female,22.0,0,0,S,1,1,Young
143,1,3,female,24.0,1,0,S,2,0,Young
144,0,3,male,19.0,0,0,Q,1,1,Young
145,0,2,male,18.0,0,0,S,1,1,Young
146,0,2,male,19.0,1,1,S,3,0,Young
147,1,3,male,27.0,0,0,S,1,1,Adult
148,0,3,female,9.0,2,2,S,5,0,Child
149,0,2,male,36.5,0,2,S,3,0,Adult
150,0,2,male,42.0,0,0,S,1,1,Adult
151,0,2,male,51.0,0,0,S,1,1,Adult
152,1,1,female,22.0,1,0,S,2,0,Young
153,0,3,male,55.5,0,0,S,1,1,Adult
154,0,3,male,40.5,0,2,S,3,0,Adult
155,0,3,male,28.0,0,0,S,1,1,Adult
156,0,1,male,51.0,0,1,C,2,0,Adult
157,1,3,female,16.0,0,0,Q,1,1,Young
158,0,3,male,30.0,0,0,S,1,1,Adult
159,0,3,male,28.0,0,0,S,1,1,Adult
160,0,3,male,28.0,8,2,S,11,0,Adult
161,0,3,male,44.0,0,1,S,2,0,Adult
162,1,2,female,40.0,0,0,S,1,1,Adult
163,0,3,male,26.0,0,0,S,1,1,Adult
164,0,3,male,17.0,0,0,S,1,1,Young
165,0,3,male,1.0,4,1,S,6,0,Child
166,1,3,male,9.0,0,2,S,3,0,Child
167,1,1,female,28.0,0,1,S,2,0,Adult
168,0,3,female,45.0,1,4,S,6,0,Adult
169,0,1,male,28.0,0,0,S,1,1,Adult
170,0,3,male,28.0,0,0,S,1,1,Adult
171,0,1,male,61.0,0,0,S,1,1,Adult
172,0,3,male,4.0,4,1,Q,6,0,Child
173,1,3,female,1.0,1,1,S,3,0,Child
174,0,3,male,21.0,0,0,S,1,1,Young
175,0,1,male,56.0,0,0,C,1,1,Adult
176,0,3,male,18.0,1,1,S,3,0,Young
177,0,3,male,28.0,3,1,S,5,0,Adult
178,0,1,female,50.0,0,0,C,1,1,Adult
179,0,2,male,30.0,0,0,S,1,1,Adult
180,0,3,male,36.0,0,0,S,1,1,Adult
181,0,3,female,28.0,8,2,S,11,0,Adult
182,0,2,male,28.0,0,0,C,1,1,Adult
183,0,3,male,9.0,4,2,S,7,0,Child
184,1,2,male,1.0,2,1,S,4,0,Child
185,1,3,female,4.0,0,2,S,3,0,Child
186,0,1,male,28.0,0,0,S,1,1,Adult
187,1,3,female,28.0,1,0,Q,2,0,Adult
188,1,1,male,45.0,0,0,S,1,1,Adult
189,0,3,male,40.0,1,1,Q,3,0,Adult
190,0,3,male,36.0,0,0,S,1,1,Adult
191,1,2,female,32.0,0,0,S,1,1,Adult
192,0,2,male,19.0,0,0,S,1,1,Young
193,1,3,female,19.0,1,0,S,2,0,Young
194,1,2,male,3.0,1,1,S,3,0,Child
195,1,1,female,44.0,0,0,C,1,1,Adult
196,1,1,female,58.0,0,0,C,1,1,Adult
197,0,3,male,28.0,0,0,Q,1,1,Adult
198,0,3,male,42.0,0,1,S,2,0,Adult
199,1,3,female,28.0,0,0,Q,1,1,Adult
200,0,2,female,24.0,0,0,S,1,1,Young
201,0,3,male,28.0,0,0,S,1,1,Adult
202,0,3,male,28.0,8,2,S,11,0,Adult
203,0,3,male,34.0,0,0,S,1,1,Adult
204,0,3,male,45.5,0,0,C,1,1,Adult
205,1,3,male,18.0,0,0,S,1,1,Young
206,0,3,female,2.0,0,1,S,2,0,Child
207,0,3,male,32.0,1,0,S,2,0,Adult
208,1,3,male,26.0,0,0,C,1,1,Adult
209,1,3,female,16.0,0,0,Q,1,1,Young
210,1,1,male,40.0,0,0,C,1,1,Adult
211,0,3,male,24.0,0,0,S,1,1,Young
212,1,2,female,35.0,0,0,S,1,1,Adult
213,0,3,male,22.0,0,0,S,1,1,Young
214,0,2,male,30.0,0,0,S,1,1,Adult
215,0,3,male,28.0,1,0,Q,2,0,Adult
216,1,1,female,31.0,1,0,C,2,0,Adult
217,1,3,female,27.0,0,0,S,1,1,Adult
218,0,2,male,42.0,1,0,S,2,0,Adult
219,1,1,female,32.0,0,0,C,1,1,Adult
220,0,2,male,30.0,0,0,S,1,1,Adult
221,1,3,male,16.0,0,0,S,1,1,Young
222,0,2,male,27.0,0,0,S,1,1,Adult
223,0,3,male,51.0,0,0,S,1,1,Adult
224,0,3,male,28.0,0,0,S,1,1,Adult
225,1,1,male,38.0,1,0,S,2,0,Adult
226,0,3,male,22.0,0,0,S,1,1,Young
227,1,2,male,19.0,0,0,S,1,1,Young
228,0,3,male,20.5,0,0,S,1,1,Young
229,0,2,male,18.0,0,0,S,1,1,Young
230,0,3,female,28.0,3,1,S,5,0,Adult
231,1,1,female,35.0,1,0,S,2,0,Adult
232,0,3,male,29.0,0,0,S,1,1,Adult
233,0,2,male,59.0,0,0,S,1,1,Adult
234,1,3,female,5.0,4,2,S,7,0,Child
235,0,2,male,24.0,0,0,S,1,1,Young
236,0,3,female,28.0,0,0,S,1,1,Adult
237,0,2,male,44.0,1,0,S,2,0,Adult
238,1,2,female,8.0,0,2,S,3,0,Child
239,0,2,male,19.0,0,0,S,1,1,Young
240,0,2,male,33.0,0,0,S,1,1,Adult
241,0,3,female,28.0,1,0,C,2,0,Adult
242,1,3,female,28.0,1,0,Q,2,0,Adult
243,0,2,male,29.0,0,0,S,1,1,Adult
244,0,3,male,22.0,0,0,S,1,1,Young
245,0,3,male,30.0,0,0,C,1,1,Adult
246,0,1,male,44.0,2,0,Q,3,0,Adult
247,0,3,female,25.0,0,0,S,1,1,Adult
248,1,2,female,24.0,0,2,S,3,0,Young
249,1,1,male,37.0,1,1,S,3,0,Adult
250,0,2,male,54.0,1,0,S,2,0,Adult
251,0,3,male,28.0,0,0,S,1,1,Adult
252,0,3,female,29.0,1,1,S,3,0,Adult
253,0,1,male,62.0,0,0,S,1,1,Adult
254,0,3,male,30.0,1,0,S,2,0,Adult
255,0,3,female,41.0,0,2,S,3,0,Adult
256,1,3,female,29.0,0,2,C,3,0,Adult
257,1,1,female,28.0,0,0,C,1,1,Adult
258,1,1,female,30.0,0,0,S,1,1,Adult
259,1,1,female,35.0,0,0,C,1,1,Adult
260,1,2,female,50.0,0,1,S,2,0,Adult
261,0,3,male,28.0,0,0,Q,1,1,Adult
262,1,3,male,3.0,4,2,S,7,0,Child
263,0,1,male,52.0,1,1,S,3,0,Adult
264,0,1,male,40.0,0,0,S,1,1,Adult
265,0,3,female,28.0,0,0,Q,1,1,Adult
266,0,2,male,36.0,0,0,S,1,1,Adult
267,0,3,male,16.0,4,1,S,6,0,Young
268,1,3,male,25.0,1,0,S,2,0,Adult
269,1,1,female,58.0,0,1,S,2,0,Adult
270,1,1,female,35.0,0,0,S,1,1,Adult
271,0,1,male,28.0,0,0,S,1,1,Adult
272,1,3,male,25.0,0,0,S,1,1,Adult
273,1,2,female,41.0,0,1,S,2,0,Adult
274,0,1,male,37.0,0,1,C,2,0,Adult
275,1,3,female,28.0,0,0,Q,1,1,Adult
276,1,1,female,63.0,1,0,S,2,0,Adult
277,0,3,female,45.0,0,0,S,1,1,Adult
278,0,2,male,28.0,0,0,S,1,1,Adult
279,0,3,male,7.0,4,1,Q,6,0,Child
280,1,3,female,35.0,1,1,S,3,0,Adult
281,0,3,male,65.0,0,0,Q,1,1,Senior
282,0,3,male,28.0,0,0,S,1,1,Adult
283,0,3,male,16.0,0,0,S,1,1,Young
284,1,3,male,19.0,0,0,S,1,1,Young
285,0,1,male,28.0,0,0,S,1,1,Adult
286,0,3,male,33.0,0,0,C,1,1,Adult
287,1,3,male,30.0,0,0,S,1,1,Adult
288,0,3,male,22.0,0,0,S,1,1,Young
289,1,2,male,42.0,0,0,S,1,1,Adult
290,1,3,female,22.0,0,0,Q,1,1,Young
291,1,1,female,26.0,0,0,S,1,1,Adult
292,1,1,female,19.0,1,0,C,2,0,Young
293,0,2,male,36.0,0,0,C,1,1,Adult
294,0,3,female,24.0,0,0,S,1,1,Young
295,0,3,male,24.0,0,0,S,1,1,Young
296,0,1,male,28.0,0,0,C,1,1,Adult
297,0,3,male,23.5,0,0,C,1,1,Young
298,0,1,female,2.0,1,2,S,4,0,Child
299,1,1,male,28.0,0,0,S,1,1,Adult
300,1,1,female,50.0,0,1,C,2,0,Adult
301,1,3,female,28.0,0,0,Q,1,1,Adult
302,1,3,male,28.0,2,0,Q,3,0,Adult
303,0,3,male,19.0,0,0,S,1,1,Young
304,1,2,female,28.0,0,0,Q,1,1,Adult
305,0,3,male,28.0,0,0,S,1,1,Adult
306,1,1,male,0.92,1,2,S,4,0,Child
307,1,1,female,28.0,0,0,C,1,1,Adult
308,1,1,female,17.0,1,0,C,2,0,Young
309,0,2,male,30.0,1,0,C,2,0,Adult
310,1,1,female,30.0,0,0,C,1,1,Adult
311,1,1,female,24.0,0,0,C,1,1,Young
312,1,1,female,18.0,2,2,C,5,0,Young
313,0,2,female,26.0,1,1,S,3,0,Adult
314,0,3,male,28.0,0,0,S,1,1,Adult
315,0,2,male,43.0,1,1,S,3,0,Adult
316,1,3,female,26.0,0,0,S,1,1,Adult
317,1,2,female,24.0,1,0,S,2,0,Young
318,0,2,male,54.0,0,0,S,1,1,Adult
319,1,1,female,31.0,0,2,S,3,0,Adult
320,1,1,female,40.0,1,1,C,3,0,Adult
321,0,3,male,22.0,0,0,S,1,1,Young
322,0,3,male,27.0,0,0,S,1,1,Adult
323,1,2,female,30.0,0,0,Q,1,1,Adult
324,1,2,female,22.0,1,1,S,3,0,Young
325,0,3,male,28.0,8,2,S,11,0,Adult
326,1,1,female,36.0,0,0,C,1,1,Adult
327,0,3,male,61.0,0,0,S,1,1,Adult
328,1,2,female,36.0,0,0,S,1,1,Adult
329,1,3,female,31.0,1,1,S,3,0,Adult
330,1,1,female,16.0,0,1,C,2,0,Young
331,1,3,female,28.0,2,0,Q,3,0,Adult
332,0,1,male,45.5,0,0,S,1,1,Adult
333,0,1,male,38.0,0,1,S,2,0,Adult
334,0,3,male,16.0,2,0,S,3,0,Young
335,1,1,female,28.0,1,0,S,2,0,Adult
336,0,3,male,28.0,0,0,S,1,1,Adult
337,0,1,male,29.0,1,0,S,2,0,Adult
338,1,1,female,41.0,0,0,C,1,1,Adult
339,1,3,male,45.0,0,0,S,1,1,Adult
340,0,1,male,45.0,0,0,S,1,1,Adult
341,1,2,male,2.0,1,1,S,3,0,Child
342,1,1,female,24.0,3,2,S,6,0,Young
343,0,2,male,28.0,0,0,S,1,1,Adult
344,0,2,male,25.0,0,0,S,1,1,Adult
345,0,2,male,36.0,0,0,S,1,1,Adult
346,1,2,female,24.0,0,0,S,1,1,Young
347,1,2,female,40.0,0,0,S,1,1,Adult
348,1,3,female,28.0,1,0,S,2,0,Adult
349,1,3,male,3.0,1,1,S,3,0,Child
350,0,3,male,42.0,0,0,S,1,1,Adult
351,0,3,male,23.0,0,0,S,1,1,Young
352,0,1,male,28.0,0,0,S,1,1,Adult
353,0,3,male,15.0,1,1,C,3,0,Young
354,0,3,male,25.0,1,0,S,2,0,Adult
355,0,3,male,28.0,0,0,C,1,1,Adult
356,0,3,male,28.0,0,0,S,1,1,Adult
357,1,1,female,22.0,0,1,S,2,0,Young
358,0,2,female,38.0,0,0,S,1,1,Adult
359,1,3,female,28.0,0,0,Q,1,1,Adult
360,1,3,female,28.0,0,0,Q,1,1,Adult
361,0,3,male,40.0,1,4,S,6,0,Adult
362,0,2,male,29.0,1,0,C,2,0,Adult
363,0,3,female,45.0,0,1,C,2,0,Adult
364,0,3,male,35.0,0,0,S,1,1,Adult
365,0,3,male,28.0,1,0,Q,2,0,Adult
366,0,3,male,30.0,0,0,S,1,1,Adult
367,1,1,female,60.0,1,0,C,2,0,Adult
368,1,3,female,28.0,0,0,C,1,1,Adult
369,1,3,female,28.0,0,0,Q,1,1,Adult
370,1,1,female,24.0,0,0,C,1,1,Young
371,1,1,male,25.0,1,0,C,2,0,Adult
372,0,3,male,18.0,1,0,S,2,0,Young
373,0,3,male,19.0,0,0,S,1,1,Young
374,0,1,male,22.0,0,0,C,1,1,Young
375,0,3,female,3.0,3,1,S,5,0,Child
376,1,1,female,28.0,1,0,C,2,0,Adult
377,1,3,female,22.0,0,0,S,1,1,Young
378,0,1,male,27.0,0,2,C,3,0,Adult
379,0,3,male,20.0,0,0,C,1,1,Young
380,0,3,male,19.0,0,0,S,1,1,Young
381,1,1,female,42.0,0,0,C,1,1,Adult
382,1,3,female,1.0,0,2,C,3,0,Child
383,0,3,male,32.0,0,0,S,1,1,Adult
384,1,1,female,35.0,1,0,S,2,0,Adult
385,0,3,male,28.0,0,0,S,1,1,Adult
386,0,2,male,18.0,0,0,S,1,1,Young
387,0,3,male,1.0,5,2,S,8,0,Child
388,1,2,female,36.0,0,0,S,1,1,Adult
389,0,3,male,28.0,0,0,Q,1,1,Adult
390,1,2,female,17.0,0,0,C,1,1,Young
391,1,1,male,36.0,1,2,S,4,0,Adult
392,1,3,male,21.0,0,0,S,1,1,Young
393,0,3,male,28.0,2,0,S,3,0,Adult
394,1,1,female,23.0,1,0,C,2,0,Young
395,1,3,female,24.0,0,2,S,3,0,Young
396,0,3,male,22.0,0,0,S,1,1,Young
397,0,3,female,31.0,0,0,S,1,1,Adult
398,0,2,male,46.0,0,0,S,1,1,Adult
399,0,2,male,23.0,0,0,S,1,1,Young
400,1,2,female,28.0,0,0,S,1,1,Adult
401,1,3,male,39.0,0,0,S,1,1,Adult
402,0,3,male,26.0,0,0,S,1,1,Adult
403,0,3,female,21.0,1,0,S,2,0,Young
404,0,3,male,28.0,1,0,S,2,0,Adult
405,0,3,female,20.0,0,0,S,1,1,Young
406,0,2,male,34.0,1,0,S,2,0,Adult
407,0,3,male,51.0,0,0,S,1,1,Adult
408,1,2,male,3.0,1,1,S,3,0,Child
409,0,3,male,21.0,0,0,S,1,1,Young
410,0,3,female,28.0,3,1,S,5,0,Adult
411,0,3,male,28.0,0,0,S,1,1,Adult
412,0,3,male,28.0,0,0,Q,1,1,Adult
413,1,1,female,33.0,1,0,Q,2,0,Adult
414,0,2,male,28.0,0,0,S,1,1,Adult
415,1,3,male,44.0,0,0,S,1,1,Adult
416,0,3,female,28.0,0,0,S,1,1,Adult
417,1,2,female,34.0,1,1,S,3,0,Adult
418,1,2,female,18.0,0,2,S,3,0,Young
419,0,2,male,30.0,0,0,S,1,1,Adult
420,0,3,female,10.0,0,2,S,3,0,Child
421,0,3,male,28.0,0,0,C,1,1,Adult
422,0,3,male,21.0,0,0,Q,1,1,Young
423,0,3,male,29.0,0,0,S,1,1,Adult
424,0,3,female,28.0,1,1,S,3,0,Adult
425,0,3,male,18.0,1,1,S,3,0,Young
426,0,3,male,28.0,0,0,S,1,1,Adult
427,1,2,female,28.0,1,0,S,2,0,Adult
428,1,2,female,19.0,0,0,S,1,1,Young
429,0,3,male,28.0,0,0,Q,1,1,Adult
430,1,3,male,32.0,0,0,S,1,1,Adult
431,1,1,male,28.0,0,0,S,1,1,Adult
432,1,3,female,28.0,1,0,S,2,0,Adult
433,1,2,female,42.0,1,0,S,2,0,Adult
434,0,3,male,17.0,0,0,S,1,1,Young
435,0,1,male,50.0,1,0,S,2,0,Adult
436,1,1,female,14.0,1,2,S,4,0,Child
437,0,3,female,21.0,2,2,S,5,0,Young
438,1,2,female,24.0,2,3,S,6,0,Young
439,0,1,male,64.0,1,4,S,6,0,Adult
440,0,2,male,31.0,0,0,S,1,1,Adult
441,1,2,female,45.0,1,1,S,3,0,Adult
442,0,3,male,20.0,0,0,S,1,1,Young
443,0,3,male,25.0,1,0,S,2,0,Adult
444,1,2,female,28.0,0,0,S,1,1,Adult
445,1,3,male,28.0,0,0,S,1,1,Adult
446,1,1,male,4.0,0,2,S,3,0,Child
447,1,2,female,13.0,0,1,S,2,0,Child
448,1,1,male,34.0,0,0,S,1,1,Adult
449,1,3,female,5.0,2,1,C,4,0,Child
450,1,1,male,52.0,0,0,S,1,1,Adult
451,0,2,male,36.0,1,2,S,4,0,Adult
452,0,3,male,28.0,1,0,S,2,0,Adult
453,0,1,male,30.0,0,0,C,1,1,Adult
454,1,1,male,49.0,1,0,C,2,0,Adult
455,0,3,male,28.0,0,0,S,1,1,Adult
456,1,3,male,29.0,0,0,C,1,1,Adult
457,0,1,male,65.0,0,0,S,1,1,Senior
458,1,1,female,28.0,1,0,S,2,0,Adult
459,1,2,female,50.0,0,0,S,1,1,Adult
460,0,3,male,28.0,0,0,Q,1,1,Adult
461,1,1,male,48.0,0,0,S,1,1,Adult
462,0,3,male,34.0,0,0,S,1,1,Adult
463,0,1,male,47.0,0,0,S,1,1,Adult
464,0,2,male,48.0,0,0,S,1,1,Adult
465,0,3,male,28.0,0,0,S,1,1,Adult
466,0,3,male,38.0,0,0,S,1,1,Adult
467,0,2,male,28.0,0,0,S,1,1,Adult
468,0,1,male,56.0,0,0,S,1,1,Adult
469,0,3,male,28.0,0,0,Q,1,1,Adult
470,1,3,female,0.75,2,1,C,4,0,Child
471,0,3,male,28.0,0,0,S,1,1,Adult
472,0,3,male,38.0,0,0,S,1,1,Adult
473,1,2,female,33.0,1,2,S,4,0,Adult
474,1,2,female,23.0,0,0,C,1,1,Young
475,0,3,female,22.0,0,0,S,1,1,Young
476,0,1,male,28.0,0,0,S,1,1,Adult
477,0,2,male,34.0,1,0,S,2,0,Adult
478,0,3,male,29.0,1,0,S,2,0,Adult
479,0,3,male,22.0,0,0,S,1,1,Young
480,1,3,female,2.0,0,1,S,2,0,Child
481,0,3,male,9.0,5,2,S,8,0,Child
482,0,2,male,28.0,0,0,S,1,1,Adult
483,0,3,male,50.0,0,0,S,1,1,Adult
484,1,3,female,63.0,0,0,S,1,1,Adult
485,1,1,male,25.0,1,0,C,2,0,Adult
486,0,3,female,28.0,3,1,S,5,0,Adult
487,1,1,female,35.0,1,0,S,2,0,Adult
488,0,1,male,58.0,0,0,C,1,1,Adult
489,0,3,male,30.0,0,0,S,1,1,Adult
490,1,3,male,9.0,1,1,S,3,0,Child
491,0,3,male,28.0,1,0,S,2,0,Adult
492,0,3,male,21.0,0,0,S,1,1,Young
493,0,1,male,55.0,0,0,S,1,1,Adult
494,0,1,male,71.0,0,0,C,1,1,Senior
495,0,3,male,21.0,0,0,S,1,1,Young
496,0,3,male,28.0,0,0,C,1,1,Adult
497,1,1,female,54.0,1,0,C,2,0,Adult
498,0,3,male,28.0,0,0,S,1,1,Adult
499,0,1,female,25.0,1,2,S,4,0,Adult
500,0,3,male,24.0,0,0,S,1,1,Young
501,0,3,male,17.0,0,0,S,1,1,Young
502,0,3,female,21.0,0,0,Q,1,1,Young
503,0,3,female,28.0,0,0,Q,1,1,Adult
504,0,3,female,37.0,0,0,S,1,1,Adult
505,1,1,female,16.0,0,0,S,1,1,Young
506,0,1,male,18.0,1,0,C,2,0,Young
507,1,2,female,33.0,0,2,S,3,0,Adult
508,1,1,male,28.0,0,0,S,1,1,Adult
509,0,3,male,28.0,0,0,S,1,1,Adult
510,1,3,male,26.0,0,0,S,1,1,Adult
511,1,3,male,29.0,0,0,Q,1,1,Adult
512,0,3,male,28.0,0,0,S,1,1,Adult
513,1,1,male,36.0,0,0,S,1,1,Adult
514,1,1,female,54.0,1,0,C,2,0,Adult
515,0,3,male,24.0,0,0,S,1,1,Young
516,0,1,male,47.0,0,0,S,1,1,Adult
517,1,2,female,34.0,0,0,S,1,1,Adult
518,0,3,male,28.0,0,0,Q,1,1,Adult
519,1,2,female,36.0,1,0,S,2,0,Adult
520,0,3,male,32.0,0,0,S,1,1,Adult
521,1,1,female,30.0,0,0,S,1,1,Adult
522,0,3,male,22.0,0,0,S,1,1,Young
523,0,3,male,28.0,0,0,C,1,1,Adult
524,1,1,female,44.0,0,1,C,2,0,Adult
525,0,3,male,28.0,0,0,C,1,1,Adult
526,0,3,male,40.5,0,0,Q,1,1,Adult
527,1,2,female,50.0,0,0,S,1,1,Adult
528,0,1,male,28.0,0,0,S,1,1,Adult
529,0,3,male,39.0,0,0,S,1,1,Adult
530,0,2,male,23.0,2,1,S,4,0,Young
531,1,2,female,2.0,1,1,S,3,0,Child
532,0,3,male,28.0,0,0,C,1,1,Adult
533,0,3,male,17.0,1,1,C,3,0,Young
534,1,3,female,28.0,0,2,C,3,0,Adult
535,0,3,female,30.0,0,0,S,1,1,Adult
536,1,2,female,7.0,0,2,S,3,0,Child
537,0,1,male,45.0,0,0,S,1,1,Adult
538,1,1,female,30.0,0,0,C,1,1,Adult
